,president1,date1,president2,date2,sim
313,Franklin D. Roosevelt,1939,John F. Kennedy,1962,0.678997624474
314,Franklin D. Roosevelt,1939,Calvin Coolidge,1926,0.707948090082
315,Franklin D. Roosevelt,1939,Zachary Taylor,1849,0.50598095052
316,Franklin D. Roosevelt,1939,Grover Cleveland,1887,0.623185632786
317,Franklin D. Roosevelt,1939,Jimmy Carter,1979,0.570168717055
318,Franklin D. Roosevelt,1939,Andrew Johnson,1867,0.707225169197
319,Franklin D. Roosevelt,1939,George W. Bush,2005,0.592319929692
320,Franklin D. Roosevelt,1939,Benjamin Harrison,1891,0.563108154226
321,Franklin D. Roosevelt,1939,Martin Van Buren,1839,0.559666152241
322,Franklin D. Roosevelt,1939,James A. Garfield,1881,0.553147509869
323,Franklin D. Roosevelt,1939,Abraham Lincoln,1863,0.559465787089
324,Franklin D. Roosevelt,1939,George Washington,1793,0.565095582453
325,Franklin D. Roosevelt,1939,Chester Arthur,1883,0.552996153149
326,Franklin D. Roosevelt,1939,Thomas Jefferson,1805,0.585672281903
327,Franklin D. Roosevelt,1939,Ronald Reagan,1985,0.688490533023
328,James K. Polk,1847,Franklin Pierce,1855,0.816950998968
329,James K. Polk,1847,Bill Clinton,1997,0.346342791924
330,James K. Polk,1847,Herbert Hoover,1931,0.629179375779
331,James K. Polk,1847,William Howard Taft,1911,0.635354979722
332,James K. Polk,1847,Andrew Jackson,1833,0.847664029403
333,James K. Polk,1847,Millard Fillmore,1851,0.637910110795
334,James K. Polk,1847,Gerald Ford,1975,0.523546713205
335,James K. Polk,1847,Franklin D. Roosevelt,1939,0.550370560463
336,James K. Polk,1847,Richard Nixon,1971,0.508471890914
337,James K. Polk,1847,Barack Obama,2012,0.371102500506
338,James K. Polk,1847,James Madison,1813,0.81085185957
339,James K. Polk,1847,James Buchanan,1859,0.828927558515
340,James K. Polk,1847,Ulysses S. Grant,1873,0.842583517602
341,James K. Polk,1847,Rutherford B. Hayes,1879,0.762894483963
342,James K. Polk,1847,James Monroe,1821,0.821145984403
343,James K. Polk,1847,Lyndon B. Johnson,1966,0.48797858033
344,James K. Polk,1847,Theodore Roosevelt,1905,0.688227369443
345,James K. Polk,1847,John Quincy Adams,1827,0.780344608057
346,James K. Polk,1847,Woodrow Wilson,1917,0.674257011891
347,James K. Polk,1847,George Bush,1991,0.422832163798
